id,title,genres,averageRating,numVotes,releaseYear
tt0098936,Twin Peaks,"Crime, Drama, Mystery",8.8,220369,1990
tt3398228,BoJack Horseman,"Animation, Comedy, Drama",8.8,197916,2014
tt0193676,Freaks and Geeks,"Comedy, Drama",8.8,155607,1999
tt0214341,Dragon Ball Z,"Action, Adventure, Animation",8.8,153231,1996
tt0264235,Curb Your Enthusiasm,Comedy,8.8,151455,2000
tt7137906,When They See Us,"Biography, Crime, Drama",8.8,141887,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123041,2021
tt0072500,Fawlty Towers,Comedy,8.8,101670,1975
tt3530232,Last Week Tonight with John Oliver,"Comedy, News, Talk-Show",8.8,97205,2014
tt0112130,Pride and Prejudice,"Drama, Romance",8.8,94130,1995
tt0121220,Dragon Ball Z,"Action, Adventure, Animation",8.8,90402,1989
tt10233448,Vinland Saga,"Action, Adventure, Animation",8.8,83090,2019
tt0063929,Monty Python's Flying Circus,Comedy,8.8,79744,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77084,2011
tt3718778,Over the Garden Wall,"Adventure, Animation, Comedy",8.8,74661,2014
tt0353049,Chappelle's Show,"Comedy, Music",8.8,73166,2003
tt0096548,Blackadder Goes Forth,"Comedy, War",8.8,57749,1989
tt15435876,The Penguin,"Crime, Drama",8.8,41420,2024
tt16026746,X-Men '97,"Action, Adventure, Animation",8.8,36780,2024
tt0081834,Das Boot,"Drama, War",8.8,33917,1985
tt1795096,Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery",8.8,33474,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33035,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19801,1976
tt15295490,Campus Diaries,"Comedy, Drama, Romance",8.8,17343,2022
tt22727518,Another Love,"Crime, Drama, Romance",8.8,15284,2023
tt9566030,Pew News,"Comedy, News",8.8,14793,2018
tt6108262,Black Sun,"Crime, Drama, Thriller",8.8,12611,2017
tt13661118,Not Me,"Action, Crime, Romance",8.8,12176,2021
tt0481256,Fighting Spirit,"Action, Animation, Comedy",8.8,11208,2000
tt4574334,Stranger Things,"Drama, Fantasy, Horror",8.7,1385167,2016
tt1190634,The Boys,"Action, Comedy, Crime",8.7,730099,2019
tt2085059,Black Mirror,"Crime, Drama, Mystery",8.7,658157,2011
tt3581920,The Last of Us,"Action, Adventure, Drama",8.7,572635,2023
tt0412142,House,"Drama, Mystery",8.7,533943,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,482507,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,463992,2017
tt0096697,The Simpsons,"Animation, Comedy",8.7,443560,1989
tt0121955,South Park,"Animation, Comedy",8.7,413155,1997
tt0367279,Arrested Development,Comedy,8.7,328946,2003
tt0804503,Mad Men,Drama,8.7,266647,2007
tt4236770,Yellowstone,"Drama, Western",8.7,236426,2018
tt1606375,Downton Abbey,"Drama, Romance",8.7,229291,2010
